Running analysis with 1 processes, domains = ['con_z'], scorer = better

Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 0, Remaining: 0
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 1, Remaining: 2
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 2, Remaining: 3
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 3, Remaining: 4
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 3, Remaining: 4
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 4, Remaining: 5
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 5, Remaining: 6
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 6, Remaining: 7
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 7, Remaining: 8
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 8, Remaining: 9
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 8, Remaining: 9
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 9, Remaining: 10
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 10, Remaining: 11
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 11, Remaining: 12
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 12, Remaining: 13
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 13, Remaining: 14
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 13, Remaining: 14
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 14, Remaining: 15
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 15, Remaining: 16
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 16, Remaining: 17
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 17, Remaining: 18
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 18, Remaining: 19
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 18, Remaining: 19
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 19, Remaining: 20
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 20, Remaining: 21
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 21, Remaining: 22
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 22, Remaining: 23
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 23, Remaining: 24
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 23, Remaining: 24
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 24, Remaining: 25
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 25, Remaining: 26
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 26, Remaining: 27
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 27, Remaining: 28
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 27, Remaining: 28
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 28, Remaining: 29
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 29, Remaining: 30
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 30, Remaining: 31
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 31, Remaining: 32
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 31, Remaining: 32
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 32, Remaining: 33
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 33, Remaining: 34
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 34, Remaining: 35
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 35, Remaining: 36
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 36, Remaining: 37
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 36, Remaining: 37
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 37, Remaining: 38
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 38, Remaining: 39
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 39, Remaining: 40
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 40, Remaining: 41
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 41, Remaining: 42
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 41, Remaining: 42
Safe_volume: 0.0000% |                              | Time: 00:00 s, Done: 42, Remaining: 43
Safe_volume: 0.0000% |                              | Time: 00:01 s, Done: 43, Remaining: 44
Safe_volume: 0.0000% |                              | Time: 00:01 s, Done: 44, Remaining: 45
Safe_volume: 0.0000% |                              | Time: 00:01 s, Done: 45, Remaining: 46
Safe_volume: 0.0000% |                              | Time: 00:01 s, Done: 45, Remaining: 46
Safe_volume: 0.0000% |                              | Time: 00:01 s, Done: 46, Remaining: 47
Safe_volume: 0.0000% |                              | Time: 00:01 s, Done: 47, Remaining: 48
Safe_volume: 0.0000% |                              | Time: 00:01 s, Done: 48, Remaining: 49
Safe_volume: 0.0000% |                              | Time: 00:01 s, Done: 49, Remaining: 50
Safe_volume: 0.0000% |                              | Time: 00:01 s, Done: 49, Remaining: 50
Safe_volume: 0.0000% |                              | Time: 00:01 s, Done: 50, Remaining: 51
Safe_volume: 0.0000% |                              | Time: 00:01 s, Done: 51, Remaining: 52
Safe_volume: 0.0000% |                              | Time: 00:01 s, Done: 52, Remaining: 53
